label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map;char_map_set;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_param;Sirr;Sirr_set
compressor 1;compressor;['power'];[None];[84017.80579066789];['0x7f909ccdcfd0'];['eta_s'];['eta_s_char'];nan;False;False;50615.525853301035;False;False;0.7175999999999999;False;False;2.0;True;False;0;False;False;0x7f909cd1da10;False;nan;0x7f909cd1d790;True;m;41.0530219376374;False
compressor 2;compressor;['power'];[None];[207679.39729442875];['0x7f909ccdca90'];['eta_s'];['eta_s_char'];nan;False;False;113237.9685623368;False;False;0.7020000000000027;False;False;3.23875814126246;False;False;0;False;False;0x7f909cd1d1d0;False;nan;0x7f909cd1d350;True;m;70.71672415964939;False
