label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign
system feed;sink;[];[];[];[];[];[];[];nan;False;False
storage feed;sink;[];[];[];[];[];[];[];nan;False;False
