id;source;source_id;target;target_id;design;offdesign;design_path;local_design;local_offdesign;label;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x00000228B148F6C8;TES out;out1;heat exchanger;in2;[];[];nan;False;False;TES out:out1_heat exchanger:in2;12.527510028912321;kg / s;False;12.527510028912321;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;187.57283135193097;kJ / kg;False;187.57283135193097;False;nan;nan;nan;False;44.586523131696765;C;False;44.586523131696765;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.012644114672401703;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x00000228B148F4C8;heat exchanger;out2;TES in;in1;[];[];nan;False;False;heat exchanger:out2_TES in:in1;12.527510028912321;kg / s;False;12.527510028912321;False;nan;nan;nan;False;9.969088643450977;bar;False;9.969088643450977;False;nan;nan;nan;False;267.3971537984581;kJ / kg;False;267.3971537984581;False;nan;nan;nan;False;63.68000000002917;C;False;63.68000000002917;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.012761615001209238;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000228B14A1788;HS out;out1;heat exchanger;in1;[];[];nan;False;False;HS out:out1_heat exchanger:in1;20.081273047775614;kg / s;False;20.081273047775614;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;279.9560764711816;kJ / kg;False;279.9560764711816;False;nan;nan;nan;False;66.67999999999654;C;False;66.67999999999654;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.020490571125830213;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x00000228B14A1F88;heat exchanger;out1;HS in;in1;['T'];[];nan;False;False;heat exchanger:out1_HS in:in1;20.081273047775614;kg / s;False;20.081273047775614;False;nan;nan;nan;False;9.964620752499519;bar;False;9.964620752499519;False;nan;nan;nan;False;230.1584367687142;kJ / kg;False;230.1584367687142;False;nan;nan;nan;False;54.777015713556466;C;False;54.777015713556466;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.020362452725095986;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
