time,Q_target,Q_actual,Q_sto,P_plant,ti_plant,T_ff_sys,T_rf_sys,T_ff_sto,T_rf_sto,v_sto,pp_err
2030-05-01 00:00:00,1000000.0,999999.9999999987,999999.9999999987,0,0,66.68,50.93,63.68000000002917,44.586523131700005,0.012761615001209238,False
2030-05-02 00:00:00,1000000.0,999999.9999999977,999999.9999999977,0,0,66.42,51.26,63.419999999999106,44.586523131700005,0.012936139087492492,False
2030-05-03 00:00:00,1000000.0,999999.9999999967,999999.9999999967,0,0,65.4,50.41,62.40000000000282,44.586523131700005,0.013670065739863065,False
2030-05-04 00:00:00,750000.0,749999.9999999991,749999.9999999991,0,0,65.08,50.32,62.080000000005214,44.586523131700005,0.01043828136681899,False
2030-05-05 00:00:00,708333.0,708332.9999999992,708332.9999999992,0,0,66.69,50.73,63.68999999999289,44.586523131700005,0.009034634731503326,False
2030-05-06 00:00:00,1000000.0,999999.9999999991,999999.9999999991,0,0,67.44,50.99,64.43999999996959,44.586523131700005,0.012277706827828236,False
2030-05-07 00:00:00,1000000.0,999999.999999997,999999.999999997,0,0,67.03,51.04,64.02999999999861,44.586523131700005,0.01253405777154,False
2030-05-08 00:00:00,1000000.0,999999.9999999964,999999.9999999964,0,0,66.22,50.76,63.22000000000327,44.586523131700005,0.013073706388424975,False
2030-05-09 00:00:00,791667.0,791666.999999999,791666.999999999,0,0,64.6,49.73,61.60000000000218,44.586523131700005,0.011326449940100054,False
2030-05-10 00:00:00,750000.0,749999.9999999991,749999.9999999991,0,0,64.89,49.55,61.890000000014254,44.586523131700005,0.010551926671023355,False
2030-05-11 00:00:00,916667.0,916666.999999999,916666.999999999,0,0,64.93,49.82,61.93000000000217,44.586523131700005,0.012867468930176838,False
2030-05-12 00:00:00,750000.0,749999.9999999991,749999.9999999991,0,0,63.73,50.13,60.72999999999314,44.586523131700005,0.01130383956726836,False
2030-05-13 00:00:00,666667.0,666666.9999999994,666666.9999999994,0,0,65.39,50.77,62.38999999999936,44.586523131700005,0.009118246576253625,False
2030-05-14 00:00:00,875000.0,874999.9999999988,874999.9999999988,0,0,65.57,50.73,62.57000000002142,44.586523131700005,0.01184910037137802,False
2030-05-15 00:00:00,1000000.0,999999.9999999985,999999.9999999985,0,0,63.85,49.71,60.85000000000605,44.586523131700005,0.014961791693291225,False
2030-05-16 00:00:00,916667.0,916667.0,916667.0,0,0,62.33,48.44,59.33000000000732,44.586523131700005,0.0151180307743643,False
2030-05-17 00:00:00,875000.0,874999.9999999999,874999.9999999999,0,0,60.87,47.68,57.870000000006485,44.586523131700005,0.016006162446785786,False
2030-05-18 00:00:00,958333.0,958332.9999999999,958332.9999999999,0,0,62.14,47.7,59.13999999999572,44.586523131700005,0.01601023314457121,False
2030-05-19 00:00:00,625000.0,624999.9999999992,624999.9999999992,0,0,63.0,48.61,60.0000000000054,44.586523131700005,0.009862477274817531,False
2030-05-20 00:00:00,833333.0,833332.9999999999,833332.9999999999,0,0,62.0,48.44,58.99999999999574,44.586523131700005,0.014056016356081067,False
2030-05-21 00:00:00,875000.0,875000.0,875000.0,0,0,61.48,47.99,58.47999999999945,44.586523131700005,0.015307641063626226,False
2030-05-22 00:00:00,265789.0,337311.5506795558,337311.5506795558,0,0,60.53,46.94,57.53000000000509,44.586523131700005,0.006331029480505657,False
2030-05-23 00:00:00,329925.0,329925.0,329925.0,0,0,61.4,46.62,58.40000000001402,44.586523131700005,0.005804732325588253,False
2030-05-24 00:00:00,723576.0,618401.2629519119,618401.2629519119,0,0,61.65,46.6,58.6499999999956,44.586523131700005,0.010688299217858632,False
2030-05-25 00:00:00,416667.0,416666.9999999999,416666.9999999999,0,0,60.68,46.48,57.67999999999358,44.586523131700005,0.007731453099129767,False
2030-05-26 00:00:00,291667.0,291666.99999999994,291666.99999999994,0,0,61.63,46.4,58.630000000013524,44.586523131700005,0.005048108023640801,False
2030-05-27 00:00:00,583333.0,507821.0458492114,507821.0458492114,0,0,60.83,46.1,57.830000000012205,44.586523131700005,0.00931685979750168,False
2030-05-28 00:00:00,375000.0,375000.0000000001,375000.0000000001,0,0,58.55,45.39,55.549999999990405,44.586523131700005,0.008302062716226785,False
2030-05-29 00:00:00,83337.0,112583.96600872806,112583.96600872806,0,0,59.43,45.3,56.42999999999523,44.586523131700005,0.0023081575081890797,False
2030-05-30 00:00:00,291667.0,241104.4046490404,241104.4046490404,0,0,59.52,45.02,56.5200000000209,44.586523131700005,0.004905993597208824,False
2030-05-31 00:00:00,283601.0,283601.0,283601.0,0,0,59.48,45.08,56.4799999999903,44.586523131700005,0.005790034202759478,False
2030-06-01 00:00:00,375000.0,374999.9999999999,374999.9999999999,0,0,60.23,45.63,57.229999999985125,44.586523131700005,0.007204434706997256,False
2030-06-02 00:00:00,583333.0,583333.0000000001,583333.0000000001,0,0,60.3,45.9,57.299999999996544,44.586523131700005,0.01114580047347214,False
2030-06-03 00:00:00,205461.0,253143.52725779053,253143.52725779053,0,0,59.6,45.78,56.6000000000019,44.586523131700005,0.005116856585561829,False
2030-06-04 00:00:00,371235.0,371235.00000000006,371235.00000000006,0,0,59.13,45.75,56.12999999998726,44.586523131700005,0.00780780251741744,False
2030-06-05 00:00:00,583333.0,583332.9999999998,583332.9999999998,0,0,59.58,45.74,56.57999999999777,44.586523131700005,0.01181105978790432,False
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
