label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;zero_flag;zero_flag_set
evaporator;heat_exchanger;['heat storage'];[None];[753674.4710190272];['0x7f965449a630'];['ttd_l'];['kA'];nan;False;False;-753674.4710190272;False;False;61103.66137130222;False;False;12.33435859823935;False;False;24.70494685485454;False;False;5.0000000000179625;True;False;0.99;True;False;0.99;True;False;72575.28754064061;False;False;47446.08104816269;False;False;0x7f965449a908;False;m;0x7f965449a828;False;m;-2488.1034621665185;False;2615.716207331973;False;127.61274516545427;False;nan;False
superheater;heat_exchanger;['heat storage'];[None];[11406.956541737924];['0x7f965449a550'];[];['kA'];nan;False;False;-11406.956541737924;False;False;508.49504780233326;False;False;22.432778039899688;False;False;20.30439055069735;False;False;24.70494685485454;False;False;0.99;True;False;0.99;True;False;73088.30278210368;False;False;77652.29220810148;False;False;0x7f96544620b8;False;m;0x7f96544620f0;False;m;-36.2964807062642;False;42.86650499433517;False;6.570024288070975;False;nan;False
