time,heat_target,temperature_feed,temperature_return
2050-11-06 23:00:00,0,78.35,52.48
2050-11-07 23:00:00,0,76.98,53.02
2050-11-08 23:00:00,0,73.47,51.29
2050-11-09 23:00:00,25000,75.15,51.74
2050-11-10 23:00:00,0,77.45,52.19
2050-11-11 23:00:00,0,76.40,52.47
2050-11-12 23:00:00,0,74.73,52.23
2050-11-13 23:00:00,0,77.76,52.58
2050-11-14 23:00:00,75000,79.70,52.71
2050-11-15 23:00:00,200000,74.65,51.24
2050-11-16 23:00:00,100000,70.94,50.33
2050-11-17 23:00:00,75000,79.07,51.65
2050-11-18 23:00:00,0,82.26,52.92
2050-11-19 23:00:00,0,78.78,52.37
2050-11-20 23:00:00,0,80.75,52.86
2050-11-21 23:00:00,50000,77.88,52.27
2050-11-22 23:00:00,50000,80.54,52.51
2050-11-23 23:00:00,50000,77.05,52.28
2050-11-24 23:00:00,0,79.43,52.40
2050-11-25 23:00:00,-1149324,81.52,52.75
2050-11-26 23:00:00,-9194595,79.99,52.83
2050-11-27 23:00:00,-7746528,75.90,51.66
2050-11-28 23:00:00,-1532432,77.81,52.37
2050-11-29 23:00:00,0,79.51,52.47
2050-11-30 23:00:00,0,76.32,52.30
2050-12-01 23:00:00,0,82.70,53.52
2050-12-02 23:00:00,-352365,86.38,53.58
2050-12-03 23:00:00,-3656081,87.36,54.70
2050-12-04 23:00:00,-6337838,88.98,54.98
2050-12-05 23:00:00,-7838176,86.60,54.13
2050-12-06 23:00:00,-2622718,91.95,55.74
2050-12-07 23:00:00,-2908066,91.00,55.83
2050-12-08 23:00:00,-3604836,91.12,55.60
2050-12-09 23:00:00,-7653538,92.24,55.54
2050-12-10 23:00:00,-2890878,90.33,55.33
2050-12-11 23:00:00,-252027,88.17,54.73
2050-12-12 23:00:00,-1501689,89.76,55.07
2050-12-13 23:00:00,-9194595,91.77,56.00
2050-12-14 23:00:00,-9194595,92.24,55.97
2050-12-15 23:00:00,-3160917,91.20,55.54
2050-12-16 23:00:00,-7068581,91.02,53.96
2050-12-17 23:00:00,-9194595,88.48,53.46
2050-12-18 23:00:00,-3456757,87.82,53.44
2050-12-19 23:00:00,0,81.43,53.04
2050-12-20 23:00:00,0,82.90,53.09
2050-12-21 23:00:00,0,84.43,53.38
2050-12-22 23:00:00,0,87.46,54.18
2050-12-23 23:00:00,-1039527,90.34,54.95
2050-12-24 23:00:00,-8373649,87.45,54.84
2050-12-25 23:00:00,-8811486,79.42,52.87
2050-12-26 23:00:00,-9187342,78.43,52.53
2050-12-27 23:00:00,-2298649,79.61,52.36
2050-12-28 23:00:00,-2681757,79.81,52.33
2050-12-29 23:00:00,-9194595,88.41,54.36
2050-12-30 23:00:00,-2900676,77.96,52.35
2050-12-31 23:00:00,0,77.90,52.08
2051-01-01 23:00:00,-2874242,71.14,51.18
2051-01-02 23:00:00,0,67.93,50.45
2051-01-03 23:00:00,0,78.20,52.28
2051-01-04 23:00:00,0,78.12,52.25
2051-01-05 23:00:00,-206419,70.53,51.80
2051-01-06 23:00:00,-1900000,73.86,52.09
2051-01-07 23:00:00,0,69.31,50.96
2051-01-08 23:00:00,-1641892,69.59,51.11
2051-01-09 23:00:00,-2010473,75.44,51.28
2051-01-10 23:00:00,0,78.20,52.10
2051-01-11 23:00:00,0,76.26,51.74
2051-01-12 23:00:00,0,76.91,51.72
2051-01-13 23:00:00,0,82.67,52.63
2051-01-14 23:00:00,-1454392,84.93,52.96
2051-01-15 23:00:00,-2303378,87.78,54.13
2051-01-16 23:00:00,-3343581,90.02,53.38
2051-01-17 23:00:00,0,83.26,52.79
2051-01-18 23:00:00,0,85.24,53.25
2051-01-19 23:00:00,0,82.06,52.46
2051-01-20 23:00:00,0,84.41,52.98
2051-01-21 23:00:00,0,84.37,53.05
2051-01-22 23:00:00,0,77.90,52.50
