id;source;source_id;target;target_id;design;offdesign;design_path;local_design;local_offdesign;label;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x7fcddeb44278;TES out;out1;heat exchanger;in2;[];[];nan;False;False;TES out:out1_heat exchanger:in2;8.287492782140324;kg / s;False;8.287492782140324;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;146.73147782483778;kJ / kg;False;146.73147782483778;False;nan;nan;nan;False;34.80946150403827;C;False;34.80946150403827;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.008333364684442917;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x7fcddeb44a58;heat exchanger;out2;TES in;in1;[];[];nan;False;False;heat exchanger:out2_TES in:in1;8.287492782140324;kg / s;False;8.287492782140324;False;nan;nan;nan;False;9.945988481101447;bar;False;9.945988481101447;False;nan;nan;nan;False;267.3952329903343;kJ / kg;False;267.3952329903343;False;nan;nan;nan;False;63.67999999998824;C;False;63.67999999998824;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.008442372100568505;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x7fcddeb57198;HS out;out1;heat exchanger;in1;[];[];nan;False;False;HS out:out1_heat exchanger:in1;20.984026673883243;kg / s;False;20.984026673883243;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;279.9560764711816;kJ / kg;False;279.9560764711816;False;nan;nan;nan;False;66.67999999999654;C;False;66.67999999999654;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.02141172474696025;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x7fcddeb57898;heat exchanger;out1;HS in;in1;['T'];[];nan;False;False;heat exchanger:out1_HS in:in1;20.984026673883243;kg / s;False;20.984026673883243;False;nan;nan;nan;False;9.845453334698956;bar;False;9.845453334698956;False;nan;nan;nan;False;232.30078058630738;kJ / kg;False;232.30078058630738;False;nan;nan;nan;False;55.29184417123281;C;False;55.29184417123281;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.021283339864774046;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
