label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;zero_flag;zero_flag_set
evaporator;heat_exchanger;['heat storage'];[None];[711406.9336476699];['0x7f0b590bbb70'];['component'];['ttd_l'];['kA'];nan;False;False;-711292.8811036929;False;False;78583.16683182256;True;False;9.051466233550315;False;False;14.859891294031456;False;False;4.999034462003351;False;False;0.99;True;False;0.9900000000000002;True;False;20562.5686318897;False;False;28277.60950964809;False;False;0x7f0b59108320;False;m;0x7f0b59108358;False;m;-2469.0474477312823;False;2557.3242470540395;False;88.27679932275714;False;nan;False
superheater;heat_exchanger;['heat storage'];[None];[10220.043640066466];['0x7f0b590bbcc0'];['component'];[];['kA'];nan;False;False;-10218.45793750768;False;False;822.1017528775639;True;False;12.429675404219118;False;False;10.280070871651617;False;False;14.859891294031456;False;False;0.9899999999999999;True;False;0.9899999999999999;True;False;20754.70738687579;False;False;43522.75381807882;False;False;0x7f0b59108a90;False;m;0x7f0b59108ac8;False;m;-34.57145600889199;False;39.92606346944785;False;5.3546074605558545;False;nan;False
