id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x7f90a129b190;TES out;out1;heat exchanger;in2;[];[];nan;False;False;19.953328224882803;kg / s;False;19.953328224882803;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;185.13133078421004;kJ / kg;False;185.13133078421004;False;nan;nan;nan;False;44.00213423413976;C;False;44.00213423413976;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.020134137315338235;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x7f90a12f01d0;heat exchanger;out2;TES in;in1;[];[];nan;False;False;19.953328224882803;kg / s;False;19.953328224882803;False;nan;nan;nan;False;9.686991645785374;bar;False;9.686991645785374;False;nan;nan;nan;False;235.2482831407022;kJ / kg;False;235.2482831407022;False;nan;nan;nan;False;56.00000000000034;C;False;56.00000000000034;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.02024517872083372;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x7f90a129b290;HS out;out1;heat exchanger;in1;[];[];nan;False;False;48.48478984771746;kg / s;False;48.48478984771746;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;247.8205660066735;kJ / kg;False;247.8205660066735;False;nan;nan;nan;False;59.00000000000216;C;False;59.00000000000216;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.04926816041829731;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x7f90a1285090;heat exchanger;out1;HS in;in1;[];[];nan;False;False;48.48478984771744;kg / s;False;48.48478984771744;False;nan;nan;nan;False;9.176869683622359;bar;False;9.176869683622359;False;nan;nan;nan;False;227.1955410629595;kJ / kg;False;227.1955410629595;False;nan;nan;nan;False;54.08438236294114;C;False;54.08438236294114;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.049148799566167974;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
