label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map;char_map_set;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_param;Sirr;Sirr_set
compressor 1;compressor;['power'];[None];[84017.80579066921];['0x7f1659fbda58'];['eta_s'];['eta_s_char'];nan;False;False;50615.52585330275;False;False;0.7175999999999955;False;False;2.0;True;False;0;False;False;0x7f1659ff9be0;False;nan;0x7f1659ff9b00;True;m;41.05302193763913;False
compressor 2;compressor;['power'];[None];[207679.3972944269];['0x7f1659fbda90'];['eta_s'];['eta_s_char'];nan;False;False;113237.96856232562;False;False;0.7020000000000048;False;False;3.2387581412620268;False;False;0;False;False;0x7f1659ff95c0;False;nan;0x7f1659ff9630;True;m;70.71672415963864;False
