id;source;source_id;target;target_id;design;offdesign;design_path;local_design;local_offdesign;label;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x7fe8107dc2e8;TES out;out1;heat exchanger;in2;[];[];nan;False;False;TES out:out1_heat exchanger:in2;7.650902148819252;kg / s;False;7.650902148819252;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;157.7089956061824;kJ / kg;False;157.7089956061824;False;nan;nan;nan;False;37.43757293962739;C;False;37.43757293962739;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.00770043986153016;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x7fe8107dcac8;heat exchanger;out2;TES in;in1;[];[];nan;False;False;heat exchanger:out2_TES in:in1;7.650902148819252;kg / s;False;7.650902148819252;False;nan;nan;nan;False;9.9538980271722;bar;False;9.9538980271722;False;nan;nan;nan;False;282.96651182574317;kJ / kg;False;282.96651182574317;False;nan;nan;nan;False;67.4000000000018;C;False;67.4000000000018;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.007810040163667815;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x7fe8107ee208;HS out;out1;heat exchanger;in1;[];[];nan;False;False;HS out:out1_heat exchanger:in1;18.789457933169007;kg / s;False;18.789457933169007;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;295.5327353569981;kJ / kg;False;295.5327353569981;False;nan;nan;nan;False;70.40000000000413;C;False;70.40000000000413;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.019213451905588205;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x7fe8107ee908;heat exchanger;out1;HS in;in1;['T'];[];nan;False;False;heat exchanger:out1_HS in:in1;18.789457933169007;kg / s;False;18.789457933169007;False;nan;nan;nan;False;9.875865165965363;bar;False;9.875865165965363;False;nan;nan;nan;False;244.52897551418462;kJ / kg;False;244.52897551418462;False;nan;nan;nan;False;58.215486524988876;C;False;58.215486524988876;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.019085446543865892;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
