id;source;source_id;target;target_id;design;offdesign;design_path;local_design;local_offdesign;label;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x7f719f565d68;TES out;out1;heat exchanger;in2;[];[];nan;False;False;TES out:out1_heat exchanger:in2;2.718789677641413;kg / s;False;2.718789677641413;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;168.359844107088;kJ / kg;False;168.359844107088;False;nan;nan;nan;False;39.99999999999994;C;False;39.99999999999994;True;nan;nan;nan;False;-inf;-;False;nan;False;nan;nan;nan;False;0.00273901143338905;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;l;False;1;1;True;False
0x7f719f565fd0;heat exchanger;out2;TES in;in1;[];[];nan;False;False;heat exchanger:out2_TES in:in1;2.718789677641413;kg / s;False;2.718789677641413;False;nan;nan;nan;False;9.8;bar;False;9.8;False;nan;nan;nan;False;260.3125251312702;kJ / kg;False;260.3125251312702;False;nan;nan;nan;False;61.99999999999994;C;False;61.99999999999994;True;nan;nan;nan;False;-inf;-;False;nan;False;nan;nan;nan;False;0.0027670657083701078;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;l;False;1;1;False;False
0x7f719f565e10;HS out;out1;heat exchanger;in1;[];[];nan;False;False;HS out:out1_heat exchanger:in1;2.83418223810217;kg / s;False;2.83418223810217;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;272.8815644783027;kJ / kg;False;272.8815644783027;False;nan;nan;nan;False;65.0;C;False;65.0;True;nan;nan;nan;False;-inf;-;False;nan;False;nan;nan;nan;False;0.0028891960170564063;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;l;False;1;1;True;False
0x7f719f565f28;heat exchanger;out1;HS in;in1;['T'];[];nan;False;False;heat exchanger:out1_HS in:in1;2.8341822381021693;kg / s;False;2.8341822381021693;False;nan;nan;nan;False;9.8;bar;False;9.8;False;nan;nan;nan;False;184.6726989229934;kJ / kg;False;184.6726989229934;False;nan;nan;nan;False;43.907847714297816;C;False;43.907847714297816;False;nan;nan;nan;False;-inf;-;False;nan;False;nan;nan;nan;False;0.0028597528027994733;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;l;False;1;1;False;False
