id;source;source_id;target;target_id;design;offdesign;design_path;local_design;local_offdesign;label;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x7f719f565d68;TES out;out1;heat exchanger;in2;[];[];nan;False;False;TES out:out1_heat exchanger:in2;7.4102100836536255;kg / s;False;7.4102100836536255;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;146.2864781511771;kJ / kg;False;146.2864781511771;False;nan;nan;nan;False;34.717799580440044;C;False;34.717799580440044;True;nan;nan;nan;False;-inf;-;False;nan;False;nan;nan;nan;False;0.0074509610757441174;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;l;False;1;1;True;False
0x7f719f565fd0;heat exchanger;out2;TES in;in1;[];[];nan;False;False;heat exchanger:out2_TES in:in1;7.410210083653626;kg / s;False;7.410210083653626;False;nan;nan;nan;False;9.8;bar;False;9.8;False;nan;nan;nan;False;281.2354186955115;kJ / kg;False;281.2354186955115;False;nan;nan;nan;False;66.9999999999763;C;False;66.9999999999763;True;nan;nan;nan;False;-inf;-;False;nan;False;nan;nan;nan;False;0.007562574060298228;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;l;False;1;1;False;False
0x7f719f565e10;HS out;out1;heat exchanger;in1;[];[];nan;False;False;HS out:out1_heat exchanger:in1;11.101852052974246;kg / s;False;11.101852052974246;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;293.8114237124469;kJ / kg;False;293.8114237124469;False;nan;nan;nan;False;69.99999999999375;C;False;69.99999999999375;True;nan;nan;nan;False;-inf;-;False;nan;False;nan;nan;nan;False;0.01134956272130569;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;l;False;1;1;True;False
0x7f719f565f28;heat exchanger;out1;HS in;in1;[];[];nan;False;False;heat exchanger:out1_HS in:in1;11.101852052974246;kg / s;False;11.101852052974246;False;nan;nan;nan;False;9.8;bar;False;9.8;False;nan;nan;nan;False;203.73636279213005;kJ / kg;False;203.73636279213005;False;nan;nan;nan;False;48.46925363313977;C;False;48.46925363313977;False;nan;nan;nan;False;-inf;-;False;nan;False;nan;nan;nan;False;0.01122404286595023;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;l;False;1;1;False;False
