id;source;source_id;target;target_id;design;offdesign;design_path;local_design;local_offdesign;label;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x000001F92CD5F1C8;TES out;out1;heat exchanger;in2;[];[];nan;False;False;TES out:out1_heat exchanger:in2;7.977003925362714;kg / s;False;7.977003925362714;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;168.41248400189124;kJ / kg;False;168.41248400189124;False;nan;nan;nan;False;40.00000000002092;C;False;40.00000000002092;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.00803638942408183;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x000001F92CC9B148;heat exchanger;out2;TES in;in1;[];[];nan;False;False;heat exchanger:out2_TES in:in1;7.977003925362714;kg / s;False;7.977003925362714;False;nan;nan;nan;False;9.987506413557906;bar;False;9.987506413557906;False;nan;nan;nan;False;231.09265874898654;kJ / kg;False;231.09265874898654;False;nan;nan;nan;False;54.99999999999159;C;False;54.99999999999159;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.008089574633927869;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x000001F92CD5F788;HS out;out1;heat exchanger;in1;[];[];nan;False;False;HS out:out1_heat exchanger:in1;7.416292903337455;kg / s;False;7.416292903337455;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;252.00330994050617;kJ / kg;False;252.00330994050617;False;nan;nan;nan;False;59.99999999999221;C;False;59.99999999999221;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0075400355406628665;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x000001F92CD5F9C8;heat exchanger;out1;HS in;in1;['T'];[];nan;False;False;heat exchanger:out1_HS in:in1;7.416292903337458;kg / s;False;7.416292903337458;False;nan;nan;nan;False;9.995195144211218;bar;False;9.995195144211218;False;nan;nan;nan;False;184.5841820127255;kJ / kg;False;184.5841820127255;False;nan;nan;nan;False;43.871269273649204;C;False;43.871269273649204;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.007483091547609301;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
