label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;zero_flag;zero_flag_set
evaporator;heat_exchanger;['heat storage'];[None];[693269.9625983542];['0x7f5d3dc4bb38'];['pr1', 'ttd_l'];['zeta1', 'kA'];nan;False;False;-334657.3004293551;False;False;62063.00032292186;True;False;5.392219175484422;False;False;11.611582784604082;False;False;1.927028737148703;False;False;0.997607353429732;False;False;0.9899999999999998;True;False;21525.276893804396;True;False;206695.73994320107;False;False;0x7f5d3fca3a58;False;m;0x7f5d3fca3a90;False;m;-1141.8469236678507;False;1168.6158862358027;False;26.76896256795203;False;nan;False
superheater;heat_exchanger;['heat storage'];[None];[10851.013585990893];['0x7f5d3dc4bac8'];['pr1', 'pr2'];['zeta1', 'zeta2', 'kA'];nan;False;False;-5311.28586306301;False;False;589.9338844796082;True;False;9.003188328041531;False;False;6.818147519020556;False;False;11.611582784604082;False;False;0.9975890382109827;False;False;0.9982125099908447;False;False;21720.347725018815;True;False;57820.16959124906;True;False;0x7f5d3fca3e48;False;m;0x7f5d3fca3e80;False;m;-17.78120051930764;False;18.686189753083074;False;0.904989233775435;False;nan;False
