label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign
TES in;sink;[];[];[];[];[];[];nan;False;False
HS in;sink;[];[];[];[];[];[];nan;False;False
