time,Q_target,Q_actual,Q_sto,P_plant,ti_plant,T_ff_sys,T_rf_sys,T_ff_sto,T_rf_sto,m_sto,pp_err
2030-01-01 00:00:00,0.0,0,0,0,0,63.9,46.0,0,0,0,False
2030-01-01 01:00:00,1000000.0000001731,1000000.0000001726,1000000.0000001726,0,0,62.4,46.0,59.40000000001123,34.55334124652,9.629440011730985,False
2030-01-01 02:00:00,999999.9999999027,999999.9999999037,999999.9999999037,0,0,62.9,45.6,59.89999999999196,36.3736334743,10.170401850319244,False
2030-01-01 03:00:00,999999.9999999027,999999.9999999021,999999.9999999021,0,0,63.4,45.8,60.39999999998827,37.62268243993,10.504766322481114,False
2030-01-01 04:00:00,1000000.0000001731,1000000.0000001728,1000000.0000001728,0,0,62.2,45.2,59.199999999998454,38.54288553037,11.583383480838004,False
2030-01-01 05:00:00,999999.9999999027,999999.9999999034,999999.9999999034,0,0,60.8,44.6,57.79999999999819,39.24241450858,12.894480791989919,False
2030-01-01 06:00:00,1000000.0000001731,1000000.0000001735,1000000.0000001735,0,0,61.2,45.2,58.19999999999794,39.84185086112,13.03436435379857,False
2030-01-01 07:00:00,999999.9999999027,999999.9999999026,999999.9999999026,0,0,62.8,45.6,59.79999999999643,40.36398364257,12.305513334605429,False
2030-01-01 08:00:00,999999.9999999027,999999.9999999033,999999.9999999033,0,0,63.6,46.0,60.600000000006105,40.70413815936,12.023692330924247,False
2030-01-01 09:00:00,1000000.0000001731,1000000.0000001729,1000000.0000001729,0,0,63.2,46.0,60.20000000000391,41.02125955812,12.473330630368409,False
2030-01-01 10:00:00,999999.9999999027,999999.9999999036,999999.9999999036,0,0,62.9,46.0,59.899999999994975,41.30370720284,12.864201669739028,False
2030-01-01 11:00:00,999999.9999999027,999999.9999999031,999999.9999999031,0,0,63.6,46.0,60.59999999999201,41.58397040075,12.579939163286808,False
2030-01-01 12:00:00,1000000.0000001731,1000000.000000173,1000000.000000173,0,0,62.8,46.0,59.799999999998306,41.80052812636,13.291218063508516,False
2030-01-01 13:00:00,999999.9999999027,999999.9999999027,999999.9999999027,0,0,62.5,45.2,59.50000000000182,42.01113714763,13.679281313305736,False
2030-01-01 14:00:00,999999.9999999027,999999.9999999026,999999.9999999026,0,0,59.6,45.2,56.600000000000136,42.19649205204,16.610185184663464,False
2030-01-01 15:00:00,1000000.0000001731,1000000.0000001723,1000000.0000001723,0,0,60.4,45.2,57.400000000004184,42.37915257115,15.927463816610175,False
2030-01-01 16:00:00,999999.9999999027,999999.9999999019,999999.9999999019,0,0,61.6,45.2,58.59999999999201,42.5585445421,14.91389671528298,False
2030-01-01 17:00:00,999999.9999999027,999999.9999999037,999999.9999999037,0,0,59.9,45.2,56.89999999998963,42.73206251578,16.886171413812505,False
2030-01-01 18:00:00,1000000.0000001731,1000000.0000001735,1000000.0000001735,0,0,58.6,45.2,55.60000000001611,42.9256889325,18.873885166424117,False
2030-01-01 19:00:00,999999.9999999027,999999.9999999026,999999.9999999026,0,0,59.6,45.0,56.60000000000372,43.04671878587,17.65418652103401,False
2030-01-01 20:00:00,1000000.0000001731,1000000.0000001732,1000000.0000001732,0,0,60.3,44.4,57.29999999999569,43.17683011654,16.941021775336512,False
2030-01-01 21:00:00,999999.9999999027,999999.999999902,999999.999999902,0,0,59.2,44.4,56.199999999995555,43.34225688934,18.606130861359464,False
2030-01-01 22:00:00,999999.9999999027,999999.9999999033,999999.9999999033,0,0,58.8,44.4,55.799999999992906,43.49066521165,19.435939118322757,False
2030-01-01 23:00:00,1000000.0000001731,1000000.0000001733,1000000.0000001733,0,0,58.3,44.4,55.30000000001553,43.64422576162,20.524744868135134,False
2030-01-02 00:00:00,999999.9999999027,999999.9999999031,999999.9999999031,0,0,56.8,43.8,53.80000000000871,43.89894679784,24.17336157785226,False
2030-01-02 01:00:00,999999.9999999027,999999.9999999027,999999.9999999027,0,0,55.8,43.7,52.80000000000098,44.16047082843,27.72351375202658,False
2030-01-02 02:00:00,1000000.0000001731,1000000.0000001742,1000000.0000001742,0,0,56.6,43.3,53.60000000001429,44.16740867504,25.37766685689101,False
2030-01-02 03:00:00,999999.9999999027,999999.9999999034,999999.9999999034,0,0,58.6,43.5,55.59999999999536,44.09342572053,20.81539446334287,False
2030-01-02 04:00:00,999999.9999999027,999999.9999999029,999999.9999999029,0,0,59.0,43.8,56.00000000000398,44.17222961729,20.23285991587952,False
2030-01-02 05:00:00,0.0,0,0,0,0,57.4,44.2,0,0,0,False
2030-01-02 06:00:00,0.0,0,0,0,0,57.1,44.4,0,0,0,False
2030-01-02 07:00:00,0.0,0,0,0,0,55.8,44.4,0,0,0,False
2030-01-02 08:00:00,0.0,0,0,0,0,57.0,44.4,0,0,0,False
2030-01-02 09:00:00,0.0,0,0,0,0,57.0,44.4,0,0,0,False
2030-01-02 10:00:00,0.0,0,0,0,0,57.3,44.4,0,0,0,False
2030-01-02 11:00:00,0.0,0,0,0,0,58.7,44.4,0,0,0,False
2030-01-02 12:00:00,0.0,0,0,0,0,57.4,44.4,0,0,0,False
2030-01-02 13:00:00,0.0,0,0,0,0,57.1,44.4,0,0,0,False
2030-01-02 14:00:00,0.0,0,0,0,0,58.0,44.4,0,0,0,False
2030-01-02 15:00:00,0.0,0,0,0,0,58.4,44.8,0,0,0,False
2030-01-02 16:00:00,0.0,0,0,0,0,58.6,45.2,0,0,0,False
2030-01-02 17:00:00,0.0,0,0,0,0,57.2,45.2,0,0,0,False
2030-01-02 18:00:00,0.0,0,0,0,0,57.8,45.2,0,0,0,False
2030-01-02 19:00:00,0.0,0,0,0,0,59.0,45.2,0,0,0,False
2030-01-02 20:00:00,0.0,0,0,0,0,59.0,45.2,0,0,0,False
